# # op eerste positie van regel: regel negeren
# kolommen met tabs gescheiden
#invoerbestand	archiefnaam	collectie	thumbnailmap
NL-HaNA_3.01.01.ead.xml	NL-HaNA	3.01.01	images_3_01_01
NL-HaNA_3.18.20.ead.xml	NL-HaNA	3.18.20	images_3_18_20
NL-HaNA_3.01.03.ead.xml	NL-HaNA	3.01.03	images_3_01_03
NL-HaNA_1.01.42.01.ead.xml	NL-HaNA	1.01.42.01	images_1_01_42_01
NL-HaNA_1.01.42.02.ead.xml	NL-HaNA	1.01.42.02	images_1_01_42_02
NL-HaNA_1.08.01.ead.xml	NL-HaNA	1.08.01	images_1_08_01
NL-HaNA_1.08.06.ead.xml	NL-HaNA	1.08.06	images_1_08_06
NL-HaNA_3.18.18.ead.xml	NL-HaNA	3.18.18	images_3_18_18
NL-HaNA_3.18.17.01.ead.xml	NL-HaNA	3.18.17.01	images_3_18_17_01
NL-HaNA_3.18.02.ead.xml	NL-HaNA	3.18.02	images_3_18_02
NL-HaNA_3.18.03.ead.xml	NL-HaNA	3.18.03	images_3_18_03
NL-HaNA_3.18.04.ead.xml	NL-HaNA	3.18.04	images_3_18_04
NL-HaNA_3.18.05.ead.xml	NL-HaNA	3.18.05	images_3_18_05
NL-HaNA_3.18.06.ead.xml	NL-HaNA	3.18.06	images_3_18_06
NL-HaNA_3.18.07.ead.xml	NL-HaNA	3.18.07	images_3_18_07
NL-HaNA_3.18.08.ead.xml	NL-HaNA	3.18.08	images_3_18_08
NL-HaNA_3.18.09.ead.xml	NL-HaNA	3.18.09	images_3_18_09
NL-HaNA_3.18.10.ead.xml	NL-HaNA	3.18.10	images_3_18_10
NL-HaNA_3.18.13.ead.xml	NL-HaNA	3.18.13	images_3_18_13
NL-HaNA_3.18.14.ead.xml	NL-HaNA	3.18.14	images_3_18_14
NL-HaNA_3.18.16.ead.xml	NL-HaNA	3.18.16	images_3_18_16
NL-HaNA_3.18.21.ead.xml	NL-HaNA	3.18.21	images_3_18_21
NL-HaNA_3.18.22.ead.xml	NL-HaNA	3.18.22	images_3_18_22
NL-HaNA_3.18.23.ead.xml	NL-HaNA	3.18.23	images_3_18_23
NL-HaNA_3.18.25.ead.xml	NL-HaNA	3.18.25	images_3_18_25
NL-HaNA_3.18.26.ead.xml	NL-HaNA	3.18.26	images_3_18_26
NL-HaNA_3.18.30.01.ead.xml	NL-HaNA	3.18.30.01	images_3_18_30_01
NL-HaNA_3.18.31.01.ead.xml	NL-HaNA	3.18.31.01	images_3_18_31_01
NL-HaNA_3.18.34.01.ead.xml	NL-HaNA	3.18.34.01	images_3_18_34_01
NL-HaNA_3.18.83.ead.xml	NL-HaNA	3.18.83	images_3_18_83
NL-HaNA_3.19.02.ead.xml	NL-HaNA	3.19.02	images_3_19_02
NL-HaNA_3.19.10.ead.xml	NL-HaNA	3.19.10	images_3_19_10
NL-HaNA_3.19.14.ead.xml	NL-HaNA	3.19.14	images_3_19_14
NL-HaNA_3.19.15.ead.xml	NL-HaNA	3.19.15	images_3_19_15
NL-HaNA_3.19.18.ead.xml	NL-HaNA	3.19.18	images_3_19_18
NL-HaNA_3.19.43.ead.xml	NL-HaNA	3.19.43	images_3_19_43
NL-HaNA_3.19.47.ead.xml	NL-HaNA	3.19.47	images_3_19_47
NL-HaNA_3.19.56.ead.xml	NL-HaNA	3.19.56	images_3_19_56
NL-HaNA_3.19.71.ead.xml	NL-HaNA	3.19.71	images_3_19_71
NL-HaNA_3.20.23.ead.xml	NL-HaNA	3.20.23	images_3_20_23
NL-HaNA_3.20.39.ead.xml	NL-HaNA	3.20.39	images_3_20_39
NL-HaNA_3.20.61.01.ead.xml	NL-HaNA	3.20.61.01	images_3_20_61_01
NL-HaNA_3.20.87.ead.xml	NL-HaNA	3.20.87	images_3_20_87

